2025/04/08 8:08:46 PM EST,36 - 40,Toddler years (1-3 years);School-age children,3,Overwhelm or burnout;Anxiety or racing thoughts,Not sure where to find someone I trust;Childcare or schedule issues,Virtual sessions;Flexible scheduling (evenings/lunchtimes/weekends);A therapist who's also a mom,Help with anxiety,Depleted ,Offers practical tools;Easy to talk to,Flexible scheduling or online options;Seeing that the therapist is also a mom;Being able to browse their social media to get a feel for their style/personality,Instagram;Friends or other moms;Books,Asking a friend or another mom;Local Facebook groups or mom groups;Insurance provider list
2025/04/08 8:11:46 PM EST,36 - 40,4-12 months postpartum;School-age children,2,Overwhelm or burnout;Anxiety or racing thoughts;Mom guilt or perfectionism;Relationship/partner stress;Loss of identity,Not enough time;I feel like I should be able to handle this,Virtual sessions;Flexible scheduling (evenings/lunchtimes/weekends);A therapist who's also a mom,"The confidence and clarity to find coping mechanisms for my triggers to help be a better mother, wife, sister, and daughter. This will help me enhance my current strained relationships vs. hinder. ",Sad,"Warm, non-judgmental energy;Understands high-functioning anxiety;Offers practical tools;Easy to talk to",Clear information about postpartum or maternal mental health;Credentials or specialization in perinatal mental health;Flexible scheduling or online options;Testimonials or client stories;Ease of booking a consultation;Seeing that the therapist is also a mom;Being able to browse their social media to get a feel for their style/personality,Podcasts;Google / search engines;Friends or other moms;Books,Google / search engine;Psychology Today or other directories;Asking a friend or another mom;Local Facebook groups or mom groups;Insurance provider list
2025/04/08 8:18:21 PM EST,36 - 40,School-age children,2,Anxiety or racing thoughts;Mom guilt or perfectionism;Relationship/partner stress,Not enough time;Therapy feels too expensive;I feel like I should be able to handle this,A therapist who's also a mom,Getting past recurring issues ,Inadequate ,"Warm, non-judgmental energy;Understands high-functioning anxiety;Offers practical tools;Easy to talk to",Photos or videos that feel genuine;Ease of booking a consultation;Being able to browse their social media to get a feel for their style/personality,Google / search engines;Friends or other moms;Books,Google / search engine;Asking a friend or another mom
2025/04/08 8:22:08 PM EST,31 - 35,School-age children,2,Overwhelm or burnout;Anxiety or racing thoughts;Mom guilt or perfectionism;Relationship/partner stress;Loss of identity;Loneliness or isolation;Trouble sleeping,I'm already in therapy,Virtual sessions;Flexible scheduling (evenings/lunchtimes/weekends);A therapist who's also a mom,A place to process how I am feeling and feel understood.,Overwhelmed ,"Warm, non-judgmental energy;Easy to talk to",Credentials or specialization in perinatal mental health;Photos or videos that feel genuine;Flexible scheduling or online options;Seeing that the therapist is also a mom,Instagram;Friends or other moms;Therapy or support groups,Google / search engine;Psychology Today or other directories;Asking a friend or another mom
2025/04/08 8:27:47 PM EST,46+,School-age children,1,Overwhelm or burnout;Mom guilt or perfectionism,Not enough time;Not sure where to find someone I trust,Virtual sessions;Flexible scheduling (evenings/lunchtimes/weekends),Management/coping skills,Tired,Understands high-functioning anxiety;Offers practical tools;Easy to talk to;well-informed,Credentials or specialization in perinatal mental health;Informative publications on website,Google / search engines;Books,Psychology Today or other directories;Asking a friend or another mom;Insurance provider list;Asking my primary care provider 
2025/04/08 8:36:00 PM EST,31 - 35,Toddler years (1-3 years),1,Anxiety or racing thoughts;Loss of identity;Loneliness or isolation,Not enough time;Not sure where to find someone I trust;Therapy feels too expensive,A therapist who's also a mom;Resources between sessions,"Feeling more like myself, balance, identity",Lost,"Warm, non-judgmental energy;Postpartum or maternal mental health specialist;Easy to talk to",Clear information about postpartum or maternal mental health;Ease of booking a consultation;Being able to browse their social media to get a feel for their style/personality,Instagram;Podcasts;Blogs or newsletters;Friends or other moms,Asking a friend or another mom;Asking my OB/GYN or pediatrician;Local Facebook groups or mom groups;Insurance provider list
2025/04/08 8:47:22 PM EST,41 - 45,4-12 months postpartum;Toddler years (1-3 years),2,Overwhelm or burnout;Relationship/partner stress;Loss of identity;Loneliness or isolation,Not enough time;Childcare or schedule issues,Flexible scheduling (evenings/lunchtimes/weekends),Tools to manage stressful situations with kids and at work,Inadequate ,"Warm, non-judgmental energy;Understands high-functioning anxiety;Easy to talk to",Flexible scheduling or online options;Ease of booking a consultation;Being able to browse their social media to get a feel for their style/personality,Instagram;Podcasts;Friends or other moms;My OB/GYN or pediatrician,Asking a friend or another mom;Asking my OB/GYN or pediatrician
2025/04/08 8:53:11 PM EST,36 - 40,School-age children,3,Overwhelm or burnout;Anxiety or racing thoughts;Mom guilt or perfectionism;Relationship/partner stress,Not sure where to find someone I trust;I feel like I should be able to handle this,In-Person sessons;Flexible scheduling (evenings/lunchtimes/weekends);A therapist who's also a mom,Ease ,Busy,Easy to talk to,Flexible scheduling or online options;Ease of booking a consultation,Instagram;Blogs or newsletters,Google / search engine;Insurance provider list
2025/04/08 9:00:41 PM EST,46+,School-age children;Mid 20’s,3,Overwhelm or burnout;Mom guilt or perfectionism;Relationship/partner stress,Not enough time;Not sure where to find someone I trust;Therapy feels too expensive;I feel like I should be able to handle this,Flexible scheduling (evenings/lunchtimes/weekends);A therapist who's also a mom,Understanding ,Overwhelmed ,"Warm, non-judgmental energy;Easy to talk to",Being able to browse their social media to get a feel for their style/personality,Google / search engines,Google / search engine;Insurance provider list
2025/04/08 9:18:20 PM EST,36 - 40,Toddler years (1-3 years);School-age children,3,Overwhelm or burnout;Anxiety or racing thoughts;Relationship/partner stress;Loss of identity;Loneliness or isolation;Trouble sleeping,Not enough time;Not sure where to find someone I trust;Therapy feels too expensive;Childcare or schedule issues,Virtual sessions;Flexible scheduling (evenings/lunchtimes/weekends);A therapist who's also a mom,"Release of feelings, ways to cope",Overwhelmed ,"Warm, non-judgmental energy;Postpartum or maternal mental health specialist;Easy to talk to",Photos or videos that feel genuine;Flexible scheduling or online options;Testimonials or client stories;Ease of booking a consultation;Seeing that the therapist is also a mom;Being able to browse their social media to get a feel for their style/personality,Instagram;Podcasts;Google / search engines;Friends or other moms,Google / search engine;Instagram or social media;Asking a friend or another mom;Asking my OB/GYN or pediatrician;From a podcast or blog;Local Facebook groups or mom groups
